SampleID	Env	SourceSink	id
D42E04C	Cecum	Source	74
D42E04I	Ileum	Sink	74
D42E05C	Cecum	Source	75
D42E05I	Ileum	Sink	75
D42E06C	Cecum	Source	76
D42E06I	Ileum	Sink	76
D42E07C	Cecum	Source	77
D42E07I	Ileum	Sink	77
D42E08C	Cecum	Source	78
D42E08I	Ileum	Sink	78
D42E09C	Cecum	Source	79
D42E09I	Ileum	Sink	79
D42E10C	Cecum	Source	80
D42E10I	Ileum	Sink	80
