index,D_0__Archaea;D_1__Euryarchaeota,D_0__Bacteria;D_1__Acidobacteria,D_0__Bacteria;D_1__Actinobacteria,D_0__Bacteria;D_1__Armatimonadetes,D_0__Bacteria;D_1__Bacteroidetes,D_0__Bacteria;D_1__Chloroflexi,D_0__Bacteria;D_1__Cyanobacteria,D_0__Bacteria;D_1__Deferribacteres,D_0__Bacteria;D_1__Deinococcus-Thermus,D_0__Bacteria;D_1__Elusimicrobia,D_0__Bacteria;D_1__Entotheonellaeota,D_0__Bacteria;D_1__Epsilonbacteraeota,D_0__Bacteria;D_1__Firmicutes,D_0__Bacteria;D_1__Fusobacteria,D_0__Bacteria;D_1__Gemmatimonadetes,D_0__Bacteria;D_1__Lentisphaerae,D_0__Bacteria;D_1__Nitrospirae,D_0__Bacteria;D_1__Omnitrophicaeota,D_0__Bacteria;D_1__Patescibacteria,D_0__Bacteria;D_1__Planctomycetes,D_0__Bacteria;D_1__Proteobacteria,D_0__Bacteria;D_1__Rokubacteria,D_0__Bacteria;D_1__Tenericutes,D_0__Bacteria;D_1__Verrucomicrobia,D_0__Bacteria;D_1__Zixibacteria,Group1,Group2
D14E06I,0.0,0.0,730.0,0.0,121.0,0.0,2.0,0.0,0.0,0.0,0.0,30.0,123472.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,435.0,0.0,0.0,10.0,0.0,Ileum,D14I
D14E06J,0.0,0.0,24.0,0.0,890.0,0.0,7.0,0.0,0.0,0.0,0.0,75.0,79145.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.0,0.0,0.0,0.0,0.0,Jejunum,D14J
D14E07C,0.0,0.0,415.0,0.0,14643.0,0.0,106.0,0.0,0.0,0.0,0.0,112.0,133802.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1049.0,0.0,647.0,0.0,0.0,Cecum,D14C
D14E07D,0.0,0.0,188.0,0.0,1527.0,0.0,0.0,0.0,6.0,0.0,0.0,124.0,113596.0,16.0,22.0,0.0,41.0,0.0,10.0,29.0,1397.0,0.0,0.0,70.0,0.0,Duodenum,D14D
D14E07I,0.0,0.0,0.0,0.0,161.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,154384.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,5.0,0.0,Ileum,D14I
D14E07J,0.0,0.0,0.0,0.0,91.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,109480.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,Jejunum,D14J
D14E08C,0.0,0.0,757.0,0.0,29207.0,0.0,13.0,0.0,0.0,0.0,0.0,25.0,98956.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7030.0,0.0,23.0,4.0,0.0,Cecum,D14C
D14E08D,0.0,13.0,526.0,0.0,2245.0,13.0,0.0,0.0,0.0,0.0,0.0,70.0,80867.0,172.0,29.0,0.0,110.0,0.0,0.0,21.0,3222.0,0.0,13.0,150.0,0.0,Duodenum,D14D
D14E08I,0.0,0.0,8.0,0.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,110079.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Ileum,D14I
D14E08J,0.0,0.0,19.0,0.0,1881.0,0.0,3.0,0.0,0.0,0.0,0.0,136.0,90759.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.0,0.0,0.0,0.0,0.0,Jejunum,D14J
