index,k__Fungi;p__Ascomycota,k__Fungi;p__Basidiobolomycota,k__Fungi;p__Basidiomycota,k__Fungi;p__Chytridiomycota,k__Fungi;p__Glomeromycota,k__Fungi;p__Mortierellomycota,k__Fungi;p__Mucoromycota,k__Fungi;p__Olpidiomycota,k__Fungi;p__Rozellomycota,k__Fungi;p__unidentified,Group1,Group2
D04E06J,84509.0,0.0,18203.0,0.0,75.0,635.0,110.0,0.0,0.0,0.0,Jejunum,D04J
D04E07C,217042.0,0.0,34587.0,168.0,2061.0,16095.0,21.0,0.0,0.0,20.0,Cecum,D04C
D04E07D,120297.0,0.0,28628.0,284.0,101.0,1994.0,853.0,0.0,0.0,0.0,Duodenum,D04D
D04E07I,37423.0,0.0,20682.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Ileum,D04I
D04E07J,50856.0,0.0,7935.0,0.0,23.0,398.0,0.0,0.0,0.0,0.0,Jejunum,D04J
D04E08C,246590.0,53.0,16472.0,299.0,271.0,13285.0,0.0,17.0,0.0,13.0,Cecum,D04C
D04E08D,43888.0,0.0,17129.0,277.0,0.0,1684.0,0.0,0.0,0.0,0.0,Duodenum,D04D
D04E08I,105356.0,0.0,74651.0,0.0,0.0,2420.0,40.0,0.0,0.0,0.0,Ileum,D04I
D04E08J,77985.0,0.0,2801.0,0.0,16.0,581.0,0.0,0.0,0.0,0.0,Jejunum,D04J
D04E09C,183407.0,0.0,63649.0,81.0,1562.0,11749.0,26.0,0.0,10.0,0.0,Cecum,D04C
D04E09D,37063.0,0.0,46892.0,0.0,546.0,826.0,0.0,0.0,0.0,0.0,Duodenum,D04D
D04E09I,136978.0,0.0,14868.0,0.0,291.0,1141.0,166.0,0.0,0.0,0.0,Ileum,D04I
D04E09J,74084.0,0.0,1801.0,0.0,52.0,555.0,0.0,0.0,0.0,0.0,Jejunum,D04J
D04E10C,214474.0,0.0,68546.0,55.0,1491.0,13064.0,16.0,0.0,0.0,0.0,Cecum,D04C
D04E10D,31795.0,0.0,20750.0,0.0,173.0,198.0,0.0,0.0,0.0,0.0,Duodenum,D04D
D04E10I,239780.0,0.0,9186.0,370.0,109.0,7420.0,248.0,0.0,0.0,0.0,Ileum,D04I
D04E10J,57404.0,0.0,4858.0,0.0,39.0,263.0,34.0,0.0,0.0,0.0,Jejunum,D04J
D07E01C,248254.0,0.0,142262.0,66.0,1878.0,13662.0,4.0,9.0,0.0,0.0,Cecum,D07C
D07E01D,117641.0,0.0,17943.0,2.0,397.0,3261.0,274.0,0.0,0.0,0.0,Duodenum,D07D
D07E01I,270590.0,0.0,35850.0,0.0,401.0,2284.0,20003.0,0.0,0.0,0.0,Ileum,D07I
D07E01J,83066.0,0.0,8540.0,0.0,48.0,456.0,3490.0,0.0,0.0,0.0,Jejunum,D07J
D07E02C,153315.0,0.0,204632.0,11.0,948.0,8158.0,10.0,0.0,0.0,7.0,Cecum,D07C
D07E02D,23791.0,0.0,88337.0,0.0,643.0,487.0,0.0,0.0,0.0,0.0,Duodenum,D07D
D07E02I,142301.0,0.0,31124.0,0.0,0.0,3898.0,5693.0,0.0,0.0,3.0,Ileum,D07I
D07E02J,58749.0,0.0,17088.0,0.0,102.0,1487.0,379.0,0.0,0.0,0.0,Jejunum,D07J
D07E03C,183454.0,0.0,28390.0,156.0,1567.0,14072.0,0.0,0.0,28.0,0.0,Cecum,D07C
D07E03D,128866.0,0.0,6733.0,13.0,830.0,5188.0,35.0,0.0,0.0,0.0,Duodenum,D07D
D07E03I,51093.0,0.0,6846.0,18.0,0.0,70.0,9480.0,0.0,0.0,0.0,Ileum,D07I
D07E03J,83426.0,0.0,1503.0,17.0,0.0,492.0,53.0,0.0,0.0,0.0,Jejunum,D07J
D07E04C,178823.0,0.0,35611.0,56.0,2798.0,16411.0,0.0,0.0,0.0,0.0,Cecum,D07C
D07E04D,117898.0,0.0,57212.0,1831.0,407.0,3979.0,0.0,0.0,0.0,0.0,Duodenum,D07D
D07E04I,125119.0,0.0,29697.0,44.0,82.0,300.0,102640.0,0.0,0.0,0.0,Ileum,D07I
D07E04J,88085.0,0.0,16367.0,0.0,0.0,165.0,3454.0,0.0,0.0,0.0,Jejunum,D07J
D07E05C,195235.0,0.0,34251.0,135.0,3149.0,18179.0,7.0,0.0,0.0,0.0,Cecum,D07C
D07E05D,176084.0,0.0,22060.0,143.0,883.0,5794.0,11.0,0.0,0.0,64.0,Duodenum,D07D
D07E05I,114356.0,0.0,33773.0,0.0,0.0,500.0,57351.0,0.0,0.0,0.0,Ileum,D07I
D07E05J,176462.0,0.0,24456.0,2.0,32.0,677.0,5778.0,0.0,0.0,0.0,Jejunum,D07J
D07E06C,120236.0,0.0,143652.0,9.0,817.0,6069.0,5.0,8.0,0.0,62.0,Cecum,D07C
D07E06D,36821.0,0.0,93361.0,0.0,0.0,743.0,0.0,0.0,0.0,0.0,Duodenum,D07D
D07E06I,78017.0,0.0,59546.0,48.0,0.0,3021.0,63103.0,0.0,0.0,0.0,Ileum,D07I
D07E06J,86011.0,0.0,4550.0,0.0,0.0,781.0,1770.0,0.0,0.0,0.0,Jejunum,D07J
D07E07C,232956.0,0.0,36537.0,202.0,3461.0,17432.0,0.0,0.0,54.0,94.0,Cecum,D07C
D07E07D,14856.0,0.0,225524.0,0.0,8.0,165.0,0.0,0.0,0.0,0.0,Duodenum,D07D
D07E07I,21059.0,0.0,177530.0,2.0,0.0,166.0,292.0,0.0,0.0,0.0,Ileum,D07I
D07E07J,39078.0,0.0,47303.0,0.0,35.0,277.0,48.0,0.0,0.0,0.0,Jejunum,D07J
