"","Genus","Cluster","Importance"
"287","Ruminiclostridium.6",1,0.000108664443054077
"288","Ruminiclostridium.9",1,0.00993302885922119
"289","Ruminococcaceae.NK4A214.group",1,0.00439246055236114
"290","Ruminococcaceae.UCG.002",1,0.00117449089576142
"291","Ruminococcaceae.UCG.003",1,0.00117620720674271
"292","Ruminococcaceae.UCG.004",1,0.00224864645211317
"293","Ruminococcaceae.UCG.005",1,0.0291540289766993
"294","Ruminococcaceae.UCG.008",1,0.000108664508365349
"295","Ruminococcaceae.UCG.009",1,0.00117420548887252
"296","Ruminococcaceae.UCG.010",1,0.00117130523233049
"297","Ruminococcaceae.UCG.013",1,0.00439274006855196
"298","Ruminococcaceae.UCG.014",1,0.0216266220982615
"299","Ruminococcaceae.V9D2013.group",1,0.000108664443090777
"300","Ruminococcus.1",1,0.0088367790636816
"301","Ruminococcus.2",1,0.00553944825629878
"302","Subdoligranulum",1,0.022933859410622
"303","UBA1819",1,0.000108664443112579
"304","X.Eubacterium..coprostanoligenes.group",1,0.00440314930155911
"305","uncultured.11",1,0.0022557032898169
"306","X__.32",1,0.00439493024645569
"307","Syntrophomonas",1,0.000108664442953108
"308","X__.33",1,0.000108664443195296
"309","uncultured.bacterium.16",1,0.000108664443156809
"310","Allobaculum",1,0.0132998438937187
"311","Asteroleplasma",1,0.000108664443187694
"312","Dubosiella",1,0.000108664443046916
"313","Erysipelatoclostridium",1,0.0277016930206039
"314","Erysipelothrix",1,0.000108664442886226
"315","Erysipelotrichaceae.UCG.003",1,0.00442561619975452
"316","Holdemanella",1,0.00225241286218449
"317","Holdemania",1,0.000108664443197593
"318","Ileibacterium",1,0.00557921153827527
"319","Merdibacter",1,0.000108664508209415
"320","Turicibacter",1,0.011121507633704
"321","X.Clostridium..innocuum.group",1,0.000108666155427338
"322","uncultured.12",1,0.00333566568999211
"323","uncultured.bacterium.17",1,0.000108664443109077
"324","X__.34",1,0.000108664443188185
"325","Phascolarctobacterium",1,0.0237739683395056
"326","Dialister",1,0.0011719496396018
"327","Megamonas",1,0.00329809410475193
"328","Megasphaera",1,0.000108664443066888
"329","Quinella",1,0.000108664442955353
"330","Veillonella",1,0.000108664443050485
"331","X__.35",1,0.000108664443550499
"332","Fusobacterium",1,0.000108664443059857
"333","Sneathia",1,0.000108664443103862
"334","uncultured.bacterium.18",1,0.000108664443414687
"335","Gemmatimonas",1,0.000108664443052553
"336","uncultured.13",1,0.000108664443045695
"337","X__.36",1,0.000108664443086003
"338","uncultured.bacterium.19",1,0.000108664442928577
"339","uncultured.bacterium.20",1,0.000108664442845066
"340","Victivallis",1,0.000108664443196311
"341","uncultured.bacterium.21",1,0.000108664443095243
"342","Nitrospira",1,0.00010866444306958
"343","uncultured.bacterium.22",1,0.00010866444301015
"344","uncultured.prokaryote.1",1,0.000108664443194739
"345","X__.37",1,0.000108664442877082
"346","uncultured.bacterium.23",1,0.000108664443276597
"347","X__.38",1,0.000108664442990234
"348","uncultured.bacterium.24",1,0.000108664442891808
"349","uncultured.bacterium.25",1,0.000108664442944804
"350","Candidatus.Saccharimonas",1,0.000108664443126475
"351","uncultured.bacterium.26",1,0.000108664442678554
"352","X__.39",1,0.000108664443041795
"353","Candidatus.Brocadia",1,0.00010866444255272
"354","X__.40",1,0.00010866444295228
"355","Planctomycetes.bacterium.RIFCSPHIGHO2_02_FULL_50_42",1,0.000108664442980308
"356","uncultured.14",1,0.000108664443040112
"357","uncultured.bacterium.27",1,0.000108664442875926
"358","uncultured.planctomycete",1,0.000108664442906639
"359","uncultured.bacterium.28",1,0.000108664443149948
"360","Fimbriiglobus",1,0.000108664442958392
"361","uncultured.15",1,0.000108664443040962
"362","Singulisphaera",1,0.000108664443227158
"363","Pir4.lineage",1,0.000108664442718793
"364","uncultured.16",1,0.000108664443020971
"365","uncultured.Crater.Lake.bacterium.CL500.4",1,0.000108664443132929
"366","X__.41",1,0.000108664442896246
"367","uncultured.17",1,0.000108664443039075
"368","Azospirillum",1,0.000108664443069932
"369","Skermanella",1,0.00117265771823484
"370","Inquilinus",1,0.000108664443043066
"371","uncultured.bacterium.29",1,0.000108664443207848
"372","Brevundimonas",1,0.00109835869184843
"373","Caulobacter",1,0.000108664442896074
"374","Phenylobacterium",1,0.000108664443175539
"375","uncultured.18",1,0.000108664442393819
"376","X__.42",1,0.00117265772504414
"377","SWB02",1,0.000108664443097866
"378","Dongia",1,0.000108664443051609
"379","Reyranella",1,0.000108664442909411
"380","uncultured.bacterium.30",1,0.000108664442990994
"381","Bosea",1,0.000108664442875764
"382","Methylobacterium",1,0.000108664443101809
"383","Microvirga",1,0.00010866444312402
"384","Devosia",1,0.000108664443135997
"385","X__.43",1,0.000108664442992636
"386","uncultured.19",1,0.000108664443072895
"387","uncultured.20",1,0.00010866444304451
"388","Allorhizobium.Neorhizobium.Pararhizobium.Rhizobium",1,0.000108664442920112
"389","Ensifer",1,0.000108664442876013
"390","Mesorhizobium",1,0.000108664443110524
"391","Phyllobacterium",1,0.000108664443047096
"392","X__.44",1,0.000108664442983522
"393","Bauldia",1,0.000108664443189001
"394","Bradyrhizobium",1,0.00117329524304446
"395","Pseudolabrys",1,0.000108664442912401
"396","Rhodopseudomonas",1,0.000108664443045684
