"","Genus","Cluster","Importance"
"322","Phyllachora",1,7.68301486951121e-05
"323","X__.49",1,0.07163717904963
"324","Phialemonium",1,0.000821670783797106
"325","X__.50",1,0.0819657793871774
"326","Achaetomium",1,0.000826719293630018
"327","Acrophialophora",1,0.000822022598600112
"328","Amesia",1,7.68247523721464e-05
"329","Botryotrichum",1,0.58034953808704
"330","Chaetomium",1,0.17146388722015
"331","Dichotomopilus",1,0.00309988424310903
"332","Humicola",1,0.220253090052101
"333","Melanocarpus",1,0.00233559850281988
"334","Mycothermus",1,7.68247523721565e-05
"335","Subramaniula",1,7.68247523720802e-05
"336","Thielavia",1,7.68247523721594e-05
"337","Zopfiella",1,0.0281040914210115
"338","unidentified.32",1,0.0422030463631888
"339","Endophragmiella",1,0.000822646701063848
"340","X__.51",1,0.0094949863053922
"341","Cercophora",1,0.0179631681453644
"342","Cladorrhinum",1,0.0070544341746237
"343","Podospora",1,0.208648946297242
"344","Schizothecium",1,0.245611812133291
"345","unidentified.33",1,0.0054547417195247
"346","Neurospora",1,0.001576588989463
"347","Sordaria",1,0.00542684146208523
"348","Ramophialophora",1,0.000823706341939045
"349","Remersonia",1,0.00233865029586288
"350","Staphylotrichum",1,0.000822961084874013
"351","unidentified.34",1,0.00384594084634732
"352","Pleurophragmium",1,7.68247523721609e-05
"353","Xylomelasma",1,0.000821903701463319
"354","Phaeoacremonium",1,7.68247523721615e-05
"355","Nigrospora",1,0.0153185504111843
"356","X__.52",1,0.00157434345437641
"357","Arthrinium",1,0.00157266786816797
"358","Coniocessia",1,0.00387389211297598
"359","X__.53",1,7.68247523721565e-05
"360","Diatrype",1,0.000824103726446065
"361","Eutypella",1,7.68247523721464e-05
"362","Monosporascus",1,0.00466954175927402
"363","Monographella",1,7.68247523721662e-05
"364","Idriella",1,7.68247523721594e-05
"365","Microdochium",1,0.0160618656130622
"366","unidentified.35",1,7.68247523721662e-05
"367","X__.54",1,0.00157470287465911
"368","Ascotricha",1,0.000822138687206945
"369","Coniolariella",1,0.000822726849674737
"370","Hypoxylon",1,7.68247523721565e-05
"371","Poronia",1,7.68247523721565e-05
"372","Rosellinia",1,0.00310283838741035
"373","Xylaria",1,0.0328968711947451
"374","Zygosporium",1,0.00157388950734015
"375","Fusidium",1,0.00388115650074661
"376","Hansfordia",1,0.00233298629592939
"377","Neoidriella",1,0.000825877958428777
"378","Phialemoniopsis",1,0.0161628512667768
"379","unidentified.36",1,7.68247523721733e-05
"380","unidentified.37",1,0.00082092856417294
"381","Symbiotaphrina",1,0.00156805897150671
"382","Basidiobolus",1,7.68247523721733e-05
"383","X__.55",1,0.0716379341575749
"384","X__.56",1,0.00981760318631109
"385","X__.57",1,0.00545687829262098
"386","X__.58",1,0.000823152083182998
"387","Agaricus",1,7.68247622098238e-05
"388","Coprinus",1,7.68247523721609e-05
"389","Melanophyllum",1,7.68247523721464e-05
"390","Tulostoma",1,0.00233367827835586
"391","Amanita",1,0.000819764867532792
"392","Conocybe",1,0.00156922985758337
"393","Panaeolus",1,7.68247523721516e-05
"394","Cortinarius",1,0.00157759572252064
"395","Gymnopilus",1,7.68247523721733e-05
"396","Crepidotus",1,0.00544319436455318
"397","Simocybe",1,7.68247523721565e-05
"398","Entoloma",1,0.00771368850566885
"399","X__.59",1,0.000823264684916401
"400","Naucoria",1,0.0015745391319712
"401","X__.60",1,7.68247523721548e-05
"402","Bovista",1,0.000822883440979417
"403","Calvatia",1,0.00702955429258275
"404","Lycoperdon",1,0.00158066450176466
"405","Calocybe",1,0.003105098107791
"406","Lyophyllum",1,7.68247523721633e-05
"407","Mycenastrum",1,0.000822994430953761
"408","Gymnopus",1,7.682475237216e-05
"409","Mycetinis",1,7.68247523721733e-05
"410","Rhodocollybia",1,7.68247523721527e-05
"411","Cylindrobasidium",1,7.68247523721662e-05
"412","Flammulina",1,0.00157649580989443
"413","Strobilurus",1,0.00157752158197118
"414","Pleurotus",1,0.0015739991269189
"415","Volvariella",1,7.68247523721819e-05
"416","X__.61",1,0.00234228737425252
"417","Coprinellus",1,0.487987281936667
"418","Coprinopsis",1,0.0179106397047793
"419","Parasola",1,0.011059921947219
"420","Psathyrella",1,0.00943216881699395
"421","Aphanobasidium",1,0.000822170808962923
"422","Radulomyces",1,7.68247523721594e-05
"423","Schizophyllum",1,0.00620472051745315
"424","X__.62",1,7.68247523721527e-05
"425","unidentified.38",1,0.000821992380856106
"426","Hypholoma",1,0.00735538501642895
"427","Kuehneromyces",1,0.00232942667781911
"428","Pholiota",1,7.70084165344464e-05
"429","Tubaria",1,7.68247523721733e-05
"430","Baeospora",1,7.70128590247827e-05
"431","Clitocybe",1,0.00462394592908732
"432","Collybia",1,0.000843178020570257
"433","Hemimycena",1,7.68247523721246e-05
"434","Lepista",1,7.68247523721362e-05
"435","Leucocybe",1,7.68247523721918e-05
"436","Megacollybia",1,0.00117311063925137
"437","Melanoleuca",1,7.68247523721819e-05
"438","Mycena",1,0.00309223962800282
"439","Panellus",1,7.70085901009763e-05
"440","Paralepista",1,7.68247523721565e-05
"441","Pseudoclitocybe",1,7.68247523721984e-05
"442","Tricholoma",1,7.68247523721397e-05
"443","Typhula",1,0.00543251386559332
"444","unidentified.39",1,7.68247523722021e-05
"445","Amyloxenasma",1,7.68425941196667e-05
"446","Amphinema",1,0.00153439606830599
"447","Athelia",1,0.00153718420413424
"448","Auricularia",1,0.00082277211449383
"449","Oliveonia",1,0.0581217415909608
"450","Exidia",1,0.00308968521662973
"451","Imleria",1,7.68247523721594e-05
"452","Hydnomerulius",1,0.000842490558036082
"453","Hygrophoropsis",1,0.000821785771977584
"454","Paxillus",1,0.000823249489536983
"455","Suillus",1,7.68301387341006e-05
"456","X__.63",1,7.68247622111583e-05
"457","Botryobasidium",1,0.00540652610689157
"458","Minimedusa",1,0.0524454721708965
"459","Sistotrema",1,0.021485821668963
"460","unidentified.40",1,0.000821866850384699
"461","X__.64",1,7.68247523721464e-05
"462","Thanatephorus",1,0.0536797944649764
"463","unidentified.41",1,0.0015791612399992
"464","Corticium",1,0.00157632335171586
"465","Limonomyces",1,7.68301383680821e-05
"466","Vuilleminia",1,0.00157908528507817
"467","Geastrum",1,0.00233164360478856
"468","Fuscoporia",1,0.00195239067017226
"469","Hymenochaetopsis",1,7.68247523721594e-05
"470","Peniophorella",1,0.00309805658210567
"471","Resinicium",1,0.00940787494939609
"472","Trichaptum",1,0.00084320744702609
"473","X__.65",1,0.00233548242620063
"474","Alutaceodontia",1,0.000823321190269104
"475","Hyphodontia",1,0.00153457498265359
"476","Lyomyces",1,0.00388059325878255
"477","Oxyporus",1,7.68247523721602e-05
"478","Schizopora",1,0.000822613736673639
"479","Xylodon",1,0.00082288360584467
"480","Tubulicrinis",1,7.68247523721562e-05
"481","Gastrosporium",1,7.68247523721846e-05
"482","Lysurus",1,0.000822426054885602
"483","X__.66",1,7.68301388722455e-05
"484","Trametes",1,0.00158047934427711
"485","unidentified.42",1,0.000822446134833387
"486","Antrodia",1,7.68291904077354e-05
"487","Cinereomyces",1,0.000842149736546241
"488","Fomitopsis",1,0.0110084031925319
"489","Piptoporus",1,0.00157807530212129
"490","Tyromyces",1,7.6824752372125e-05
"491","X__.67",1,0.012845868738918
"492","Perenniporia",1,0.000842742216761031
"493","Hyphoderma",1,0.00157475336163961
"494","X__.68",1,0.000821903704624084
"495","Climacocystis",1,0.0015758450062774
"496","Meripilus",1,0.000822830378873625
"497","Rigidoporus",1,0.0184740369352112
"498","unidentified.43",1,0.000823022821907972
"499","Bjerkandera",1,0.00308890501113161
"500","Ceraceomyces",1,7.68247523721516e-05
"501","Ceriporia",1,0.00233321759615725
"502","Hapalopilus",1,7.68247523721733e-05
"503","Irpex",1,0.000820984262438142
"504","Mycoacia",1,7.68247523721733e-05
"505","Neofavolus",1,7.68247523721594e-05
"506","Phanerochaete",1,0.000843492855176511
"507","Phlebia",1,0.00310033800304437
"508","Phlebiopsis",1,7.6830138358416e-05
"509","Porostereum",1,7.68247523721594e-05
"510","Scopuloides",1,7.68247523721464e-05
"511","Hypochnicium",1,0.000820910229424984
"512","Fomes",1,7.6824752372125e-05
"513","Lentinus",1,0.000821785772009672
"514","Rhodonia",1,0.000822624921942893
"515","Xenasmatella",1,7.68247523721464e-05
"516","Heterobasidion",1,7.68249173458103e-05
"517","X__.69",1,7.6824752372125e-05
"518","Peniophora",1,0.00536502830340998
"519","Amylostereum",1,7.68247523721753e-05
"520","Stereum",1,7.68247523721594e-05
"521","X__.70",1,0.000822096591068802
"522","Tomentella",1,7.68247523731844e-05
"523","Tomentellopsis",1,0.00157087893718931
"524","Trechispora",1,0.00157605349852341
"525","Sistotremastrum",1,0.00309529549975931
"526","unidentified.44",1,7.68247523721527e-05
"527","unidentified.45",1,0.0279326000746932
"528","Kurtzmanomyces",1,0.00861934422800089
"529","Cystobasidium",1,0.0128115070482088
"530","Occultifur",1,0.00543846430481915
"531","Symmetrospora",1,0.00232826106623134
"532","Sakaguchia",1,0.00308927964808432
"533","Tilletiopsis",1,0.00157964683691257
"534","Meira",1,0.00233108962210159
"535","Exobasidium",1,0.0276181105209836
"536","Golubevia",1,0.000823159049642763
"537","Quambalaria",1,0.000822091963546181
"538","Robbauera",1,7.6824752372145e-05
"539","Tilletia",1,0.00157307918622002
"540","Basidioascus",1,0.00157597336074634
"541","Geminibasidium",1,0.000822136304593876
"542","Malassezia",1,0.364196561391246
"543","unidentified.46",1,0.0287057650268379
"544","Ustilentyloma",1,0.0015750426069915
"545","Colacogloea",1,0.00232627382713248
"546","Curvibasidium",1,0.00117012933062508
"547","Rhodosporidiobolus",1,0.00157499059387067
"548","Rhodotorula",1,0.0672526565035033
"549","Sporobolomyces",1,0.003087307319975
"550","unidentified.47",1,0.00117171525773214
"551","Moniliella",1,0.00779231170842408
"552","Melampsora",1,0.000820533649407087
"553","Puccinia",1,7.6824752372125e-05
"554","Cystofilobasidium",1,0.00158061152582088
"555","Itersonilia",1,7.68247523721753e-05
"556","Mrakia",1,7.68247523721416e-05
"557","Tausonia",1,0.0110404640306969
"558","Filobasidium",1,0.224646623973704
"559","Naganishia",1,0.00940234050421051
"560","Solicoccozyma",1,0.0203134734326218
"561","Bullera",1,7.68247523721753e-05
"562","Genolevuria",1,7.68247523732037e-05
"563","Dioszegia",1,0.00232491020631236
"564","Hannaella",1,0.0111354984833301
"565","Vishniacozyma",1,0.0204861541517153
"566","Papiliotrema",1,0.0113763377542292
"567","Bulleromyces",1,0.00233000923021505
"568","Cryptococcus",1,0.00703051953395275
"569","Saitozyma",1,0.00158005277283109
"570","Apiotrichum",1,7.68247523721562e-05
"571","Cutaneotrichosporon",1,0.0143589430176567
"572","Trichosporon",1,0.514826915960114
"573","Thecaphora",1,7.68247523721416e-05
"574","Urocystis",1,0.00082249822563035
"575","X__.71",1,0.000821395548525771
"576","Moesziomyces",1,0.00779838058267488
"577","Sporisorium",1,0.00308400885348312
"578","Tranzscheliella",1,0.00458979302139357
"579","Ustilago",1,0.0101895547668412
"580","Wallemia",1,0.0504900594899676
"581","X__.72",1,0.00822927444646071
"582","Phlyctochytrium",1,0.000822541989186231
"583","Rhizophlyctis",1,0.00232157073192372
"584","Powellomyces",1,7.68247523721733e-05
"585","Spizellomyces",1,0.00542888300480769
"586","unidentified.48",1,0.0556666435812825
"587","X__.73",1,0.0859213406885823
"588","Dominikia",1,0.00778258665743738
"589","Glomus",1,0.00782727741348238
"590","Rhizophagus",1,0.00781432899130289
"591","Septoglomus",1,0.00782515628457513
"592","Mortierella",1,0.468459970758604
"593","unidentified.49",1,0.00386620965188592
"594","unidentified.50",1,0.000822665179097833
"595","Lichtheimia",1,0.00157611417046887
"596","X__.74",1,0.0162659209800849
"597","Actinomucor",1,0.0216861482761033
"598","Mucor",1,0.101913139616713
"599","Rhizopus",1,0.0601912951904313
"600","Olpidium",1,7.80639555487039e-05
"601","unidentified.51",1,7.68247523721594e-05
"602","unidentified.52",1,0.00157708928645548
"603","unidentified.53",1,0.00308650196260389
"604","X__",2,3.21417972187761
"605","X__.1",2,2.17062388993421
"606","Diplodia",2,0.000240061438633608
"607","Lasiodiplodia",2,0.000240061504085569
"608","Macrophomina",2,0.000240061817745064
"609","unidentified",2,0.000240061828296195
"610","X__.2",2,0.0575156827887386
"611","Arthrocatena",2,0.000240061836831891
"612","Cladosporium",2,2.72268609113029
"613","Rachicladosporium",2,0.00524667551676681
"614","Dissoconium",2,0.000240061830172639
"615","Acrodontium",2,0.000240061973171811
"616","Cercospora",2,0.00520167708615494
"617","Septoria",2,0.0026864592236743
"618","Sphaerulina",2,0.000240061979649583
"619","Zasmidium",2,0.000240063298205101
"620","Recurvomyces",2,0.00267019541438318
"621","unidentified.1",2,0.000240061782122316
"622","Aureobasidium",2,2.10447473310468
"623","Coniozyma",2,0.000240063069434097
"624","X__.3",2,0.000240061431539042
"625","Arthrographis",2,0.00268815658885555
"626","Eremomyces",2,0.000240018535724406
"627","X__.4",2,0.110053876532721
"628","Camarosporidiella",2,0.000240061435447737
"629","X__.5",2,0.00519737921419919
"630","Coniothyrium",2,0.00515545077960483
"631","Corynespora",2,0.00766535760467505
"632","Pyrenochaeta",2,0.0235297347099082
"633","Pyrenochaetopsis",2,0.00768425331378132
"634","X__.6",2,0.000240061982602578
"635","Dictyosporium",2,0.00269346601417543
"636","unidentified.2",2,0.000240492019726604
"637","X__.7",2,0.394749143227731
"638","Didymella",2,0.04119149798428
"639","Neoascochyta",2,0.000240061919608648
"640","Phoma",2,0.000240062227381413
"641","Stagonosporopsis",2,0.00517654313041879
"642","X__.8",2,0.0103913951507789
"643","Aporospora",2,0.000231974448795677
"644","Kalmusia",2,0.000240061431640045
"645","Paraphaeosphaeria",2,0.0158688718685897
"646","Pseudopithomyces",2,0.00267235580509939
"647","Darksidea",2,0.015621017345062
"648","Lentithecium",2,0.00772857631650374
"649","Poaceascoma",2,0.0103049992107396
"650","X__.9",2,0.000240063070142181
"651","Heterospora",2,0.00268475017151736
"652","Leptosphaeria",2,0.0212460311476082
"653","Plenodomus",2,0.0272989848563104
"654","X__.10",2,0.000240061550140493
