D01E01I D01E02I D01E03I D01E04I D01E05I D01E06I D01E07I D01E08I D01E09I D01E10I D04E01I D04E02I D04E03I D04E04I D04E05I D04E06I D04E07I D04E08I D04E09I D04E10I D07E01I D07E02I D07E03I D07E04I D07E05I D07E06I D07E07I D07E08I D07E09I D07E10I D14E01I D14E02I D14E03I D14E04I D14E05I D14E06I D14E07I D14E08I D14E09I D14E10I D21E01I D21E02I D21E03I D21E04I D21E05I D21E06I D21E07I D21E08I D21E09I D21E10I D28E01I D28E02I D28E03I D28E04I D28E05I D28E06I D28E07I D28E08I D28E09I D28E10I D35E01I D35E02I D35E03I D35E04I D35E05I D35E06I D35E07I D35E08I D35E09I D35E10I D42E01I D42E02I D42E03I D42E04I D42E05I D42E06I D42E07I D42E08I D42E09I D42E10I
D14E01I -1 -1 -1 -1 -0.99 -1 -1 -1 -0.99 -0.99 -1 0.25 -1 -1 -1 -1 -1 -0.99 -1 0.99 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 0 -1 -1 -1 -0.99 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 0.5 -0.62 0.04 -1 0.38 -1 -1 -1 -0.99 -0.94 -1 -0.91 -1 -0.99 -1 -0.98 -1 -1 -1 -1 -0.99 1 -1 -0.29 -0.36 -0.97 -0.97 -1 -0.96 -0.77 -1 -1 -1 -0.78 -1
D14E02I -0.96 -1 -0.99 -1 -0.97 -1 -1 -1 -0.99 -0.97 -1 -0.09 -1 -1 -1 -1 -1 -1 -1 0.98 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 0.06 -0.94 -0.77 -1 -0.81 -1 -1 -1 -1 -1 -1 -0.99 -1 -1 -1 -1 -1 -1 -1 -0.95 -1 0.99 -1 -0.83 -0.72 -1 -0.98 -1 -0.92 -0.96 -1 -1 -1 -0.98 -1
D14E03I -0.87 -0.99 -0.85 -1 -0.8 -1 -0.75 -1 -0.35 -0.89 -1 -0.35 -1 -1 -1 -1 -1 -1 -1 1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 0 -1 -0.97 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -0.72 -0.83 -0.67 -1 -0.53 -1 -1 -1 -1 -1 -1 -0.9 -1 -0.99 -1 -0.99 -1 -1 -1 -0.94 -1 0.99 -1 -1 -1 -1 -0.99 -1 -1 -0.99 -1 -0.99 -0.99 -0.99 -1
D14E04I -0.45 -0.56 -0.13 -0.78 0.41 -0.85 0.47 -0.96 0.87 -0.08 -0.99 -0.75 -1 -1 -1 -0.99 -1 -1 -1 0.47 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -0.98 -0.94 -1 -0.95 -1 -0.93 -1 -1 -0.99 -0.99 -1 -1 -1 -1 -1 -1 -1 -1 -0.9 -0.99 0.86 -1 -1 -1 -1 -1 -0.97 -1 -1 -1 -1 -1 -1 -0.93
D14E05I -0.31 -0.66 0.64 -0.81 0.78 -0.89 0.76 -0.93 0.85 0.74 -0.99 -0.27 -1 -1 -1 -0.98 -0.91 -1 -1 0.89 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -0.99 -1 -0.97 -1 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -0.99 -1 -1 -1 -1 -1 -1 -1 -0.99 -0.95 -0.83 -1 -1 -1 -1 -1 -1 -0.62 -0.97 -0.99 -1 -1 -1 -0.98 -1 -1 -0.95 -1 -1 -1 -1 -1 -1
D14E06I -0.22 -0.29 0.38 -0.73 0.65 -0.24 0.81 -0.18 0.9 0.5 -1 -0.95 -1 -1 -1 -1 -0.91 -1 -1 -0.44 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -0.99 -1 -1 -1 -1 -1 -1 -0.91 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
D14E07I -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -0.36 -1 -1 -1 -1 -1 -1 -1 0.97 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 0 -1 -1 -1 -1 -1 -1 -1 -1 0.84 -1 -1 -1 -0.84 -1 -1 -1 -1 -1 -1 -0.96 -1 -1 -1 -0.97 -1 -1 -1 -1 -1 1 -1 0.78 0.6 -0.88 -0.98 -1 -0.99 0.71 -1 -1 -0.98 -0.85 -1
D14E08I -0.91 -0.98 -0.71 -0.99 -0.57 -0.91 -0.52 -0.97 -0.7 -0.39 -1 -1 -1 -1 -1 -1 -0.99 -1 -1 -0.7 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -0.99 -0.79 -1 -0.96 -0.98 -0.98 -1 -1 -1 -0.76 -1 -1 -1 -1 -1
D14E09I -0.88 -0.99 -0.9 -1 -0.52 -0.96 -0.78 -1 -0.95 -0.67 -1 -1 -1 -1 -1 -1 -1 -1 -1 -0.84 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 0 -1 -1 -1 -1 -1 -1 -0.9 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -0.66 -1 -0.94 -0.99 -1 -0.99 -1 -1 -0.78 -1 -1 -1 -1 -1
D14E10I -0.98 -1 -0.75 -0.99 -0.64 -0.99 -0.61 -1 -0.86 -0.72 -1 -1 -1 -1 -1 -1 -1 -1 -1 -0.72 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -0.96 -1 -1 -0.99 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
